web_scraper_order,web_scraper_start_url,pagination,data,data2,data3,data4,data5,data6,data7,data8,image
"1781563520-94","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/?page=25","","","","","","","","",""
"1781563520-95","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/?page=25","","","","","","","","",""
"1781563520-96","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/?page=25","T3 Mobilado e Equipado com Garagem em Baguim do Monte","310.000 €","Baguim do Monte - Hoje às 17:49","","","","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563520-97","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/?page=25","Excelente Apartamento T2, Com Cozinha Equipada, Terraço (51 M2), Um...","440.000 €","Campanhã - Hoje às 16:00","","","","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563520-98","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/?page=25","Apt t3 Arcozelo Barcelos","277.000 €","Arcozelo - 14 de junho de 2026","","","","","Seguir",""
"1781563520-99","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/?page=25","Fantástico apartamento T2 em Aveiro (pronto a escriturar)","385.000 €","Esgueira - Hoje às 10:01","","","","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563520-100","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/?page=25","Apartamento em Alter do Chão, Alter do Chão","84.000 €","Alter do Chão - Hoje às 09:46","","","","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563520-101","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/?page=25","","","","","","A navegar por uma compra ou venda? Saiba tudo o que precisa sobre o Contrato de Promessa de Compra e Venda.","","",""
"1781563520-102","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/?page=25","Apartamento T3 para venda","741.700 €","Algés, Linda-A-Velha E Cruz Quebrada-Dafundo - Hoje às 11:31","","","","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563520-103","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/?page=25","Apartamento T0 Venda em Cedofeita, Santo Ildefonso, Sé, Miragaia, São","350.000 €","Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau E Vitória - Hoje às 17:46","","","","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563520-104","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/?page=25","T2  Queluz","315.000 €","Queluz E Belas - 14 de junho de 2026","","","","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
